_H:	$Name	"%Input[4:0,0,0,0]<4:1,1,8,1>"	"%Input[4:0,0,1,0]"	"%Input[4:0,0,2,0]"	"%Input[4:0,0,3,0]"	"%Input[4:0,0,4,0]"	"%Input[4:0,0,5,0]"	"%Input[4:0,0,6,0]"	"%Input[4:0,0,7,0]"	"%ECout[4:0,0,0,0]<4:1,1,8,1>"	"%ECout[4:0,0,1,0]"	"%ECout[4:0,0,2,0]"	"%ECout[4:0,0,3,0]"	"%ECout[4:0,0,4,0]"	"%ECout[4:0,0,5,0]"	"%ECout[4:0,0,6,0]"	"%ECout[4:0,0,7,0]"
_D:	EF	0	0	0	0	0.8	1	0	0	0	0	0	0	0.8	1	0	0
_D:	FA	1	0	0	0	0	0.8	0	0	1	0	0	0	0	0.8	0	0
_D:	AB	0.8	1	0	0	0	0	0	0	0.8	1	0	0	0	0	0	0
_D:	BC	0	0.8	1	0	0	0	0	0	0	0.8	1	0	0	0	0	0
_D:	CD	0	0	0.8	1	0	0	0	0	0	0	0.8	1	0	0	0	0
_D:	DE	0	0	0	0.8	1	0	0	0	0	0	0	0.8	1	0	0	0
_D:	EF	0	0	0	0	0.8	1	0	0	0	0	0	0	0.8	1	0	0
_D:	FA	1	0	0	0	0	0.8	0	0	1	0	0	0	0	0.8	0	0
_D:	AB	0.8	1	0	0	0	0	0	0	0.8	1	0	0	0	0	0	0
_D:	BC	0	0.8	1	0	0	0	0	0	0	0.8	1	0	0	0	0	0
_D:	CD	0	0	0.8	1	0	0	0	0	0	0	0.8	1	0	0	0	0
_D:	DG	0	0	0	0.8	0	0	1	0	0	0	0	0.8	0	0	1	0
_D:	GH	0	0	0	0	0	0	0.8	1	0	0	0	0	0	0	0.8	1
_D:	HA	1	0	0	0	0	0	0	0.8	1	0	0	0	0	0	0	0.8
_D:	AB	0.8	1	0	0	0	0	0	0	0.8	1	0	0	0	0	0	0
_D:	BG	0	0.8	0	0	0	0	1	0	0	0.8	0	0	0	0	1	0
_D:	GH	0	0	0	0	0	0	0.8	1	0	0	0	0	0	0	0.8	1
_D:	HE	0	0	0	0	1	0	0	0.8	0	0	0	0	1	0	0	0.8
_D:	EF	0	0	0	0	0.8	1	0	0	0	0	0	0	0.8	1	0	0
_D:	FC	0	0	1	0	0	0.8	0	0	0	0	1	0	0	0.8	0	0
_D:	CD	0	0	0.8	1	0	0	0	0	0	0	0.8	1	0	0	0	0
_D:	DE	0	0	0	0.8	1	0	0	0	0	0	0	0.8	1	0	0	0
_D:	EF	0	0	0	0	0.8	1	0	0	0	0	0	0	0.8	1	0	0
_D:	FA	1	0	0	0	0	0.8	0	0	1	0	0	0	0	0.8	0	0
_D:	AB	0.8	1	0	0	0	0	0	0	0.8	1	0	0	0	0	0	0
_D:	BC	0	0.8	1	0	0	0	0	0	0	0.8	1	0	0	0	0	0
_D:	CD	0	0	0.8	1	0	0	0	0	0	0	0.8	1	0	0	0	0
_D:	DG	0	0	0	0.8	0	0	1	0	0	0	0	0.8	0	0	1	0
_D:	GH	0	0	0	0	0	0	0.8	1	0	0	0	0	0	0	0.8	1
_D:	HE	0	0	0	0	1	0	0	0.8	0	0	0	0	1	0	0	0.8
_D:	EF	0	0	0	0	0.8	1	0	0	0	0	0	0	0.8	1	0	0
_D:	FA	1	0	0	0	0	0.8	0	0	1	0	0	0	0	0.8	0	0
_D:	AB	0.8	1	0	0	0	0	0	0	0.8	1	0	0	0	0	0	0
_D:	BC	0	0.8	1	0	0	0	0	0	0	0.8	1	0	0	0	0	0
_D:	CD	0	0	0.8	1	0	0	0	0	0	0	0.8	1	0	0	0	0
_D:	DE	0	0	0	0.8	1	0	0	0	0	0	0	0.8	1	0	0	0
_D:	EF	0	0	0	0	0.8	1	0	0	0	0	0	0	0.8	1	0	0
_D:	FC	0	0	1	0	0	0.8	0	0	0	0	1	0	0	0.8	0	0
_D:	CD	0	0	0.8	1	0	0	0	0	0	0	0.8	1	0	0	0	0
_D:	DG	0	0	0	0.8	0	0	1	0	0	0	0	0.8	0	0	1	0
_D:	GH	0	0	0	0	0	0	0.8	1	0	0	0	0	0	0	0.8	1
_D:	HA	1	0	0	0	0	0	0	0.8	1	0	0	0	0	0	0	0.8
_D:	AB	0.8	1	0	0	0	0	0	0	0.8	1	0	0	0	0	0	0
_D:	BG	0	0.8	0	0	0	0	1	0	0	0.8	0	0	0	0	1	0
_D:	GH	0	0	0	0	0	0	0.8	1	0	0	0	0	0	0	0.8	1
_D:	HA	1	0	0	0	0	0	0	0.8	1	0	0	0	0	0	0	0.8
_D:	AB	0.8	1	0	0	0	0	0	0	0.8	1	0	0	0	0	0	0
_D:	BC	0	0.8	1	0	0	0	0	0	0	0.8	1	0	0	0	0	0
_D:	CD	0	0	0.8	1	0	0	0	0	0	0	0.8	1	0	0	0	0
_D:	DE	0	0	0	0.8	1	0	0	0	0	0	0	0.8	1	0	0	0
_D:	EF	0	0	0	0	0.8	1	0	0	0	0	0	0	0.8	1	0	0
_D:	FA	1	0	0	0	0	0.8	0	0	1	0	0	0	0	0.8	0	0
_D:	AB	0.8	1	0	0	0	0	0	0	0.8	1	0	0	0	0	0	0
_D:	BE	0	0.8	0	0	1	0	0	0	0	0.8	0	0	1	0	0	0
_D:	EF	0	0	0	0	0.8	1	0	0	0	0	0	0	0.8	1	0	0
_D:	FA	1	0	0	0	0	0.8	0	0	1	0	0	0	0	0.8	0	0
_D:	AB	0.8	1	0	0	0	0	0	0	0.8	1	0	0	0	0	0	0
_D:	BE	0	0.8	0	0	1	0	0	0	0	0.8	0	0	1	0	0	0
